Hand,RAISE 100,CALL,FOLD,RAISE 100 EV,CALL EV,FOLD EV
KhJh,99.7558713,0.24414063,0,20.8525658,18.8146315,0
KhQh,99.9633908,0.03662109,0,25.3109217,22.3598585,0
Kh2s,0.12664795,1.12762451,98.7457275,-0.8192492,-0.1237764,0
Kh3s,6.92749023,85.8154416,7.25706816,0.00695133,0.01164818,0
Kh4s,0.37231445,99.0478635,0.57982206,0.44807816,0.49311447,0.00000095
Kh5s,1.69525146,98.2010007,0.10374785,0.97181511,0.97356606,0
Kh6s,5.41687012,94.5312619,0.05186796,1.37400627,1.37740898,0
Kh7s,11.9018555,88.0432248,0.05491972,1.86354256,1.86118317,0
Kh8s,4.06494141,95.9350705,0,2.87998343,2.88149834,0
Kh9s,16.3085938,83.6914182,0,6.6668272,6.65813112,0.00000095
KhTs,25.6591797,74.3408322,0,9.98490731,9.9739036,0
KhJs,35.5957031,64.4043088,0,12.284267,12.2730153,0
KhQs,81.7627072,18.2373047,0,15.7832699,15.7745252,0
Ah2c,0.10070801,99.8993039,0,2.87542725,3.27973366,0
Ah3c,0.19836426,99.8016477,0,3.41401052,3.72603941,0
Ah4c,0.19836426,99.8016477,0,4.33079529,4.63558578,0
Ah5c,0.40893555,99.5910764,0,5.7598443,5.948596,-0.000001
Ah6c,1.24359131,98.7564206,0,5.1799345,5.18161249,0
Ah7c,12.9516602,87.0483518,0,5.92705297,5.92179155,0.00000095
Ah8c,10.6201172,89.3798947,0,7.40899801,7.40657163,0
Ah9c,43.2128906,56.7871213,0,9.35481155,9.33958054,0.00000095
AhTc,70.0439572,29.9560547,0,13.9547608,13.9342208,0
AhJc,95.2087522,4.79125977,0,16.5404306,16.5167046,0
AhQc,99.9755979,0.02441406,0,23.2506275,19.3290167,-0.000001
AhKc,99.9755979,0.02441406,0,36.8346844,21.5566034,0
AhAc,99.9847412,0.01525879,0,120.815224,66.3916931,0
Ah2d,0.10070801,99.8993039,0,2.87542725,3.27973366,0
Ah3d,0.19836426,99.8016477,0,3.41401052,3.72603941,0
Ah4d,0.19836426,99.8016477,0,4.33079529,4.63558578,0
Ah5d,0.40893555,99.5910764,0,5.7598443,5.948596,-0.000001
Ah6d,1.24359131,98.7564206,0,5.1799345,5.18161249,0
Ah7d,12.9516602,87.0483518,0,5.92705297,5.92179155,0.00000095
Ah8d,10.6201172,89.3798947,0,7.40899801,7.40657163,0
Ah9d,43.2128906,56.7871213,0,9.35481155,9.33958054,0.00000095
AhTd,70.0439572,29.9560547,0,13.9547608,13.9342208,0
AhJd,95.2087522,4.79125977,0,16.5404306,16.5167046,0
AhQd,99.9755979,0.02441406,0,23.2506275,19.3290167,-0.000001
AhKd,99.9755979,0.02441406,0,36.8346844,21.5566034,0
